date,key,name,AM,PM,ISCS
2019-01-01 0:00,93,북춘천,결빙 서리,서리 결빙,
2019-01-02 0:00,93,북춘천,서리 결빙,서리 결빙,
2019-01-03 0:00,93,북춘천,서리 결빙,결빙 서리,
2019-01-04 0:00,93,북춘천,서리 결빙,결빙 연무 서리,て1740-てゎ1800-てゎ2100-てゎ2400-
2019-01-05 0:00,93,북춘천,박무 연무 서리 결빙,노을 결빙,こ0003-こゎ0300-こゎ0600-こわ0900-0935. -て-0008. て0930-1140.
2019-01-06 0:00,93,북춘천,결빙 서리,결빙 서리,
2019-01-07 0:00,93,북춘천,결빙 서리,서리 결빙,
2019-01-08 0:00,93,북춘천,결빙 서리,결빙,
2019-01-10 0:00,93,북춘천,결빙,서리 결빙,
2019-01-11 0:00,93,북춘천,서리 결빙 박무 연무,연무 결빙,こ0450-こゎ0600-こゎ0900-1030. て1025-てゎ1200-1330. て1730-てゎ1800-てゎ2100-てゎ2400-
2019-01-12 0:00,93,북춘천,결빙 연무,연무 박무 서리 결빙,-て-てゎ0300-0350. て1950-てゎ2100-2130. こ2125-こゎ2400-
2019-01-13 0:00,93,북춘천,박무 서리 결빙 연무,연무 박무 서리 결빙,-こ-こわ0300-こわ0600-こわ0900-1035. て1030-てゎ1200-てゎ1500-1720. て1950-てゎ2100-2200. こ2155-こゎ2400-
2019-01-14 0:00,93,북춘천,서리 결빙 박무 연무,연무 박무 서리 결빙,-こ-こわ0300-こわ0600-こわ0900-1025. て1020-てゎ1200-てゎ1500-てゎ1800-2010. こ2005-こゎ2100-こわ2400-
2019-01-15 0:00,93,북춘천,박무 서리 결빙 연무,눈 연무 결빙,-こ-こわ0300-こわ0600-こわ0900-1045. て1040-てゎ1200-てゎ1500-1550. ぅ1355-1440. ぅ1520-1550.
2019-01-16 0:00,93,북춘천,서리 결빙,결빙 노을 눈,ぅ2150-ぅゎ2400-
2019-01-18 0:00,93,북춘천,결빙 서리,노을 결빙 달무리 서리,ば2210-2230.
2019-01-19 0:00,93,북춘천,서리 결빙 박무,박무 서리 결빙,こ0430-こゎ0600-0745. こ1930-こゎ2100-こわ2400-
2019-01-20 0:00,93,북춘천,서리 결빙 박무,결빙,-こ-こわ0300-こわ0600-こゎ0900-0920.
2019-01-21 0:00,93,북춘천,결빙 서리 눈,눈 박무 서리 결빙,ぅ1125-ぅゎ1200-ぅゎ1500-1730. こ2130-こゎ2400-
2019-01-22 0:00,93,북춘천,서리 결빙 박무 안개 무빙 연무,연무 노을 결빙 박무 서리,-こ-こゎ0300-こわ0600-よりぐ0746-よるぐ0755-よれぐ0810-よろぐ0820-らろぐ0825-られぐ0830-らるぐ0840-らりこ0847-こゐ0900-1130. せ0840-0847. て1125-てゎ1200-1240. こ2340-こゎ2400-
2019-01-23 0:00,93,북춘천,박무 서리 결빙 연무,연무 노을 결빙,-こ-こゎ0300-こわ0600-こわ0900-1035. て1030-てゎ1200-1230.
2019-01-24 0:00,93,북춘천,결빙 서리,서리 결빙,
2019-01-25 0:00,93,북춘천,서리 결빙,결빙,
2019-01-26 0:00,93,북춘천,서리 결빙,결빙,
2019-01-27 0:00,93,북춘천,서리 결빙,,
2019-01-28 0:00,93,북춘천,눈 서리 결빙 박무 신적설 적설 노을 연무,노을 결빙,ぅ0115-ぅゎ0300-0330. ぅ0730-0755. こ0750-0830. て0825-てゎ0900-0940.
2019-01-29 0:00,93,북춘천,결빙 서리 노을,노을 결빙,
2019-01-30 0:00,93,북춘천,결빙 서리,연무 결빙,て2040-てゎ2100-てゎ2400-
2019-02-01 0:00,93,북춘천,결빙 서리,서리 결빙,
2019-02-02 0:00,93,북춘천,서리 결빙 박무,이슬,こ0620-こゎ0900-0950.
2019-02-04 0:00,93,북춘천,연무 박무 결빙 노을,노을 서리 결빙,て0220-てゎ0300-0540. -こ-0223.
2019-02-05 0:00,93,북춘천,서리 결빙,서리 결빙,
2019-02-06 0:00,93,북춘천,서리 결빙,,
2019-02-10 0:00,93,북춘천,결빙 서리 노을,결빙,
